country.r,country,year,lifeExp,pop,gdpPercap
11,El Salvador,2002,70.734,6353681,5351.568666
12,Guatemala,1952,42.023,3146381,2428.237769
12,Guatemala,1962,46.954,4208858,2750.364446
12,Guatemala,1972,53.738,5149581,4031.408271
12,Guatemala,1982,58.137,6395630,4820.49479
12,Guatemala,1992,63.373,8486949,4439.45084
12,Guatemala,2002,68.978,11178650,4858.347495
13,Haiti,1952,37.579,3201488,1840.366939
13,Haiti,1962,43.59,3880130,1796.589032
13,Haiti,1972,48.042,4698301,1654.456946
13,Haiti,1982,51.461,5198399,2011.159549
13,Haiti,1992,55.089,6326682,1456.309517
13,Haiti,2002,58.137,7607651,1270.364932
14,Honduras,1952,41.912,1517453,2194.926204
14,Honduras,1962,48.041,2090162,2291.156835
14,Honduras,1972,53.884,2965146,2529.842345
14,Honduras,1982,60.909,3669448,3121.760794
14,Honduras,1992,66.399,5077347,3081.694603
14,Honduras,2002,68.565,6677328,3099.72866
15,Jamaica,1952,58.53,1426095,2898.530881
15,Jamaica,1962,65.61,1665128,5246.107524
15,Jamaica,1972,69,1997616,7433.889293
15,Jamaica,1982,71.21,2298309,6068.05135
15,Jamaica,1992,71.766,2378618,7404.923685
15,Jamaica,2002,72.047,2664659,6994.774861
16,Mexico,1952,50.789,30144317,3478.125529
16,Mexico,1962,58.299,41121485,4581.609385
16,Mexico,1972,62.361,55984294,6809.40669
16,Mexico,1982,67.405,71640904,9611.147541
16,Mexico,1992,71.455,88111030,9472.384295
16,Mexico,2002,74.902,102479927,10742.44053
17,Nicaragua,1952,42.314,1165790,3112.363948
17,Nicaragua,1962,48.632,1590597,3634.364406
17,Nicaragua,1972,55.151,2182908,4688.593267
17,Nicaragua,1982,59.298,2979423,3470.338156
17,Nicaragua,1992,65.843,4017939,2170.151724
17,Nicaragua,2002,70.836,5146848,2474.548819
18,Panama,1952,55.191,940080,2480.380334
18,Panama,1962,61.817,1215725,3536.540301
18,Panama,1972,66.216,1616384,5364.249663
18,Panama,1982,70.472,2036305,7009.601598
18,Panama,1992,72.462,2484997,6618.74305
18,Panama,2002,74.712,2990875,7356.031934
19,Paraguay,1952,62.649,1555876,1952.308701
19,Paraguay,1962,64.361,2009813,2148.027146
19,Paraguay,1972,65.815,2614104,2523.337977
19,Paraguay,1982,66.874,3366439,4258.503604
19,Paraguay,1992,68.225,4483945,4196.411078
19,Paraguay,2002,70.755,5884491,3783.674243
20,Peru,1952,43.902,8025700,3758.523437
20,Peru,1962,49.096,10516500,4957.037982
20,Peru,1972,55.448,13954700,5937.827283
20,Peru,1982,61.406,18125129,6434.501797
20,Peru,1992,66.458,22430449,4446.380924
20,Peru,2002,69.906,26769436,5909.020073
21,Puerto Rico,1952,64.28,2227000,3081.959785
21,Puerto Rico,1962,69.62,2448046,5108.34463
21,Puerto Rico,1972,72.16,2847132,9123.041742
21,Puerto Rico,1982,73.75,3279001,10330.98915
21,Puerto Rico,1992,73.911,3585176,14641.58711
21,Puerto Rico,2002,77.778,3859606,18855.60618
22,Trinidad and Tobago,1952,59.1,662850,3023.271928
22,Trinidad and Tobago,1962,64.9,887498,4997.523971
22,Trinidad and Tobago,1972,65.9,975199,6619.551419
22,Trinidad and Tobago,1982,68.832,1116479,9119.528607
22,Trinidad and Tobago,1992,69.862,1183669,7370.990932
22,Trinidad and Tobago,2002,68.976,1101832,11460.60023
23,United States,1952,68.44,157553000,13990.48208
23,United States,1962,70.21,186538000,16173.14586
23,United States,1972,71.34,209896000,21806.03594
23,United States,1982,74.65,232187835,25009.55914
23,United States,1992,76.09,256894189,32003.93224
23,United States,2002,77.31,287675526,39097.09955
24,Uruguay,1952,66.071,2252965,5716.766744
24,Uruguay,1962,68.253,2598466,5603.357717
24,Uruguay,1972,68.673,2829526,5703.408898
24,Uruguay,1982,70.805,2953997,6920.223051
24,Uruguay,1992,72.752,3149262,8137.004775
24,Uruguay,2002,75.307,3363085,7727.002004
25,Venezuela,1952,55.088,5439568,7689.799761
25,Venezuela,1962,60.77,8143375,8422.974165
25,Venezuela,1972,65.712,11515649,10505.25966
25,Venezuela,1982,68.557,15620766,11152.41011
25,Venezuela,1992,71.15,20265563,10733.92631
25,Venezuela,2002,72.766,24287670,8605.047831
